semester,skema,title,link
E15/F16,Skema C,Taylor 1 variable Del 2,https://video.dtu.dk/media/Taylor+1+variable+Del+2/0_7k50yic0/185147
E15/F16,Skema C,Funktioner 2 variable Del 1,https://video.dtu.dk/media/Funktioner+2+variable+Del+1/0_z3qz278j/185147
E15/F16,Skema C,Funktioner 2 variable Del 2,https://video.dtu.dk/media/Funktioner+2+variable+Del+2/0_5b7aux37/185147
E15/F16,Skema C,Gradienter Del 1,https://video.dtu.dk/media/Gradienter+Del+1/0_7d76b21e/185147
E15/F16,Skema C,Gradienter Del 2,https://video.dtu.dk/media/Gradienter+Del+2/0_13d3zpqe/185147
E15/F16,Skema C,Værdimængde Del 1,https://video.dtu.dk/media/V%C3%A6rdim%C3%A6ngde+Del+1/0_po74cxr7/185147
E15/F16,Skema C,Værdimængde Del 2,https://video.dtu.dk/media/V%C3%A6rdim%C3%A6ngde+Del+2/0_wed7ubj3/185147
E15/F16,Skema C,Symmetriske matricer Del 1 (Forelæsning fra 2015),https://video.dtu.dk/media/Symmetriske+matricer+Del+1+%28Forel%C3%A6sning+fra+2015%29/0_hj6is5yd/185147
E15/F16,Skema C,Symmetriske matricer Del 2 (Forelæsning fra 2015),https://video.dtu.dk/media/Symmetriske+matricer+Del+2+%28Forel%C3%A6sning+fra+2015%29/0_xr2owlcl/185147
E15/F16,Skema C,Keglesnit Del 1,https://video.dtu.dk/media/Keglesnit+Del+1/0_ngk4v8ff/185147
E15/F16,Skema C,Keglesnit Del 2,https://video.dtu.dk/media/Keglesnit+Del+2/0_iynx0frx/185147
E15/F16,Skema C,Taylor 2 variable Del 1,https://video.dtu.dk/media/Taylor+2+variable+Del+1/0_461kxqku/185147
E15/F16,Skema C,Taylor 2 variable Del 2,https://video.dtu.dk/media/Taylor+2+variable+Del+2/0_ealun069/185147
E15/F16,Skema C,Riemann integraler Del 1,https://video.dtu.dk/media/Riemann+integraler+Del+1/0_ufz2j7pc/185147
E15/F16,Skema C,Riemann integraler Del 2,https://video.dtu.dk/media/Riemann+integraler+Del+2/0_fnci0wsv/185147
E15/F16,Skema C,Planintegraler Del 1,https://video.dtu.dk/media/Planintegraler+Del+1/0_ch27p11d/185147
E15/F16,Skema C,Planintegraler Del 2,https://video.dtu.dk/media/Planintegraler+Del+2/0_apf3vco7/185147
